index,time,millivolts
0,0.010848522186279297,8230
1,1.0132899284362793,8230
2,2.009260654449463,8230
3,3.011258363723755,8230
4,4.011894226074219,8230
5,5.013657808303833,8230
6,6.0119264125823975,8152
7,7.014371156692505,8230
8,8.01311182975769,8230
9,9.012263059616089,8230
10,10.013062953948975,8230
11,11.016185998916626,8190
12,12.01241946220398,8230
13,13.012619256973267,8230
14,14.01187801361084,8230
15,15.012512683868408,8230
16,16.0135018825531,8230
17,17.012216806411743,8190
18,18.008991241455078,8230
19,19.01356554031372,8132
20,20.011584520339966,8230
21,21.012857675552368,8230
22,22.014905214309692,8230
23,23.008450984954834,8220
24,24.011825561523438,8220
25,25.012622356414795,8220
26,26.01230502128601,8220
27,27.011632680892944,8220
28,28.009101152420044,8220
29,29.02044129371643,8220
30,30.01214027404785,8220
31,31.012065410614014,8220
32,32.01167297363281,8220
33,33.008358001708984,8220
34,34.01202988624573,8220
35,35.012455463409424,8220
36,36.012091875076294,8220
37,37.011948585510254,8220
38,38.02033448219299,8220
39,39.01200199127197,8220
40,40.01366400718689,8122
41,41.01214909553528,8220
42,42.01273846626282,8220
43,43.01393175125122,8220
44,44.008243799209595,8220
45,45.011945486068726,8220
46,46.0120587348938,8220
47,47.012019634246826,8220
48,48.01208209991455,8220
49,49.0091187953949,8172
50,50.01218223571777,8220
51,51.015785932540894,8220
52,52.0113205909729,8210
53,53.01179599761963,8210
54,54.01273584365845,8220
55,55.01234483718872,8210
56,56.01254391670227,8210
57,57.01279067993164,8210
58,58.01195454597473,8210
59,59.009138345718384,8122
60,60.011475801467896,8210
61,61.01192498207092,8210
62,62.01575231552124,8210
63,63.01123309135437,8210
64,64.0152177810669,8210
65,65.01200699806213,8210
66,66.0125527381897,8210
67,67.01165080070496,8210
68,68.01239848136902,8210
69,69.01207184791565,8210
70,70.01213335990906,8210
71,71.01344799995422,8210
72,72.01168203353882,8152
73,73.01573085784912,8122
74,74.01254439353943,8210
75,75.01331734657288,8210
76,76.01199746131897,8210
77,77.01193380355835,8210
78,78.01301884651184,8112
79,79.01246070861816,8210
80,80.0086407661438,8210
81,81.01251101493835,8210
82,82.01249861717224,8210
83,83.01224112510681,8210
84,84.01408624649048,8122
85,85.0100793838501,8210
86,86.01112127304077,8210
87,87.01191902160645,8200
88,88.01143717765808,8210
89,89.012216091156,8200
90,90.00820326805115,8210
91,91.01180386543274,8200
92,92.01258945465088,8200
93,93.0119891166687,8200
94,94.00849270820618,8200
95,95.03056478500366,8200
96,96.01135873794556,8200
97,97.0122618675232,8200
98,98.01210069656372,8200
99,99.01316928863525,8200
100,100.0136775970459,8200
101,101.01237082481384,8200
102,102.01233696937561,8200
103,103.01197052001953,8200
104,104.01191449165344,8200
105,105.01180768013,8162
106,106.01400995254517,8200
107,107.0120267868042,8200
108,108.01976370811462,8200
109,109.01172351837158,8200
110,110.01196789741516,8200
111,111.0088357925415,8200
112,112.01112818717957,8200
113,113.01403594017029,8200
114,114.01245307922363,8200
115,115.01241159439087,8200
116,116.00893068313599,8200
117,117.01267552375793,8180
118,118.01139259338379,8200
119,119.01189947128296,8200
120,120.01434516906738,8102
121,121.01500654220581,8190
122,122.01270508766174,8200
123,123.01233220100403,8200
124,124.01200556755066,8200
125,125.01168918609619,8200
126,126.0122423171997,8132
127,127.01253318786621,8190
128,128.0123646259308,8190
129,129.011878490448,8200
130,130.01262044906616,8190
131,131.01210188865662,8190
132,132.00836634635925,8142
133,133.0124409198761,8190
134,134.01254844665527,8122
135,135.01187109947205,8190
136,136.01237797737122,8190
137,137.00885772705078,8142
138,138.0117745399475,8190
139,139.01253652572632,8190
140,140.014395236969,8190
141,141.0120141506195,8190
142,142.00890612602234,8112
143,143.01154804229736,8190
144,144.01161670684814,8112
145,145.01220297813416,8190
146,146.0126006603241,8190
147,147.009206533432,8190
148,148.01231622695923,8132
149,149.01208662986755,8190
150,150.01492047309875,8152
151,151.01189875602722,8190
152,152.01696872711182,8190
153,153.0123348236084,8190
154,154.01243996620178,8190
155,155.01211404800415,8190
156,156.01186609268188,8190
157,157.0120508670807,8190
158,158.01291489601135,8180
159,159.0124077796936,8180
160,160.0125608444214,8190
161,161.01575446128845,8180
162,162.01221776008606,8142
163,163.0085804462433,8180
164,164.01166319847107,8180
165,165.01254987716675,8180
166,166.01271867752075,8180
167,167.01204752922058,8180
168,168.0088927745819,8180
169,169.01253724098206,8122
170,170.01247143745422,8180
171,171.01317715644836,8180
172,172.0155894756317,8180
173,173.00898432731628,8180
174,174.011577129364,8180
175,175.01228785514832,8092
176,176.01188850402832,8172
177,177.01232481002808,8112
178,178.0089168548584,8180
179,179.0129497051239,8180
180,180.012225151062,8180
181,181.0129406452179,8180
182,182.0122218132019,8180
183,183.02530169487,8180
184,184.01219820976257,8180
185,185.01229667663574,8132
